epoch,lr-AdamW,step,train_loss,val_loss,val_tc_mae_K
,0.001,0,,,
0,,9,2.9996304512023926,,
0,,19,3.9217958450317383,,
0,,29,2.4507410526275635,,
0,,39,2.0006508827209473,,
0,,49,1.1366002559661865,,
0,,59,2.0147480964660645,,
0,,69,2.509697437286377,,
0,,79,2.310887336730957,,
0,,89,3.13846755027771,,
0,,99,1.4248220920562744,,
0,,109,1.3377666473388672,,
0,,119,1.5364645719528198,,
0,,129,1.6883925199508667,,
0,,139,1.5200214385986328,,
0,,144,,1.3310272693634033,8.75682544708252
,0.0009999383162408303,145,,,
1,,149,1.1782410144805908,,
1,,159,1.3033207654953003,,
1,,169,1.3874781131744385,,
1,,179,1.3682348728179932,,
1,,189,1.475649118423462,,
1,,199,1.4875915050506592,,
1,,209,0.7699012756347656,,
1,,219,1.3127154111862183,,
1,,229,1.1595432758331299,,
1,,239,0.9709805250167847,,
1,,249,1.3117364645004272,,
1,,259,0.9570764303207397,,
1,,269,0.8443189859390259,,
1,,279,1.6734493970870972,,
1,,289,1.2625622749328613,,
1,,289,,1.057790994644165,6.972872257232666
,0.0009997532801828658,290,,,
2,,299,0.8401920199394226,,
2,,309,0.8167192935943604,,
2,,319,0.8748189210891724,,
2,,329,0.9969034194946289,,
2,,339,1.3879358768463135,,
2,,349,0.77360999584198,,
2,,359,0.6658987998962402,,
2,,369,0.5945764780044556,,
2,,379,1.0435749292373657,,
2,,389,1.1386440992355347,,
2,,399,0.838829755783081,,
2,,409,0.6561410427093506,,
2,,419,1.006328821182251,,
2,,429,0.4912876486778259,,
2,,434,,0.9741007685661316,7.147828578948975
,0.0009994449374809851,435,,,
3,,439,1.1529631614685059,,
3,,449,0.988348662853241,,
3,,459,1.3031665086746216,,
3,,469,1.4547119140625,,
3,,479,1.2898070812225342,,
3,,489,1.6073302030563354,,
3,,499,0.47266530990600586,,
3,,509,0.9461974501609802,,
3,,519,1.4719065427780151,,
3,,529,0.6930687427520752,,
3,,539,1.1766407489776611,,
3,,549,0.7799957990646362,,
3,,559,1.151257038116455,,
3,,569,0.7079323530197144,,
3,,579,0.27471616864204407,,
3,,579,,0.9330210089683533,7.264793395996094
,0.0009990133642141358,580,,,
4,,589,0.8634527921676636,,
4,,599,0.7235246896743774,,
4,,609,1.2034941911697388,,
4,,619,0.5680748224258423,,
4,,629,0.43124645948410034,,
4,,639,0.6884416341781616,,
4,,649,0.5120507478713989,,
4,,659,0.8982048630714417,,
4,,669,1.2479922771453857,,
4,,679,1.2008086442947388,,
4,,689,0.8402871489524841,,
4,,699,0.7130321860313416,,
4,,709,1.1175215244293213,,
4,,719,1.6540120840072632,,
4,,724,,0.8197234869003296,5.940727233886719
,0.000998458666866564,725,,,
5,,729,1.3251451253890991,,
5,,739,0.9088280200958252,,
5,,749,0.7153310179710388,,
5,,759,0.9084237217903137,,
5,,769,0.9127553701400757,,
5,,779,0.7700618505477905,,
5,,789,0.8706953525543213,,
5,,799,0.7839711308479309,,
5,,809,0.6941215991973877,,
5,,819,0.7787766456604004,,
5,,829,1.5968587398529053,,
5,,839,0.5755172967910767,,
5,,849,0.8700442910194397,,
5,,859,0.4086652994155884,,
5,,869,0.5875706076622009,,
5,,869,,0.8441339731216431,5.396572589874268
,0.00099778098230154,870,,,
6,,879,0.6542754173278809,,
6,,889,0.5751649141311646,,
6,,899,0.6708910465240479,,
6,,909,0.8831747770309448,,
6,,919,0.3228280246257782,,
6,,929,0.7182785272598267,,
6,,939,1.1639423370361328,,
6,,949,1.202549695968628,,
6,,959,0.9499074220657349,,
6,,969,0.3905338943004608,,
6,,979,0.5809509754180908,,
6,,989,0.686565637588501,,
6,,999,0.6666627526283264,,
6,,1009,0.8716329336166382,,
6,,1014,,0.7518487572669983,5.290835380554199
,0.0009969804777275899,1015,,,
7,,1019,0.8105810284614563,,
7,,1029,0.9233267307281494,,
7,,1039,0.5657792687416077,,
7,,1049,0.3088679611682892,,
7,,1059,1.1291236877441406,,
7,,1069,0.4538058638572693,,
7,,1079,0.6159965395927429,,
7,,1089,0.4608003497123718,,
7,,1099,0.8876395225524902,,
7,,1109,0.7129138112068176,,
7,,1119,0.7235486507415771,,
7,,1129,0.28551316261291504,,
7,,1139,0.5904133319854736,,
7,,1149,0.7106472253799438,,
7,,1159,0.5849633812904358,,
7,,1159,,0.6963902711868286,5.788529396057129
,0.000996057350657239,1160,,,
8,,1169,0.6019402742385864,,
8,,1179,0.7669107913970947,,
8,,1189,0.7335281372070312,,
8,,1199,0.4446428418159485,,
8,,1209,0.5015731453895569,,
8,,1219,0.5449541807174683,,
8,,1229,0.6954965591430664,,
8,,1239,0.9636859893798828,,
8,,1249,1.3543293476104736,,
8,,1259,0.6725996136665344,,
8,,1269,0.9399847388267517,,
8,,1279,0.6536256074905396,,
8,,1289,0.8080650568008423,,
8,,1299,0.7070732116699219,,
8,,1304,,0.7058917880058289,6.0115437507629395
,0.0009950118288582787,1305,,,
9,,1309,0.6936607956886292,,
9,,1319,0.8046503067016602,,
9,,1329,0.54217529296875,,
9,,1339,0.6595859527587891,,
9,,1349,0.5246501564979553,,
9,,1359,0.5770097970962524,,
9,,1369,0.8106153607368469,,
9,,1379,0.4962868094444275,,
9,,1389,0.6366620659828186,,
9,,1399,1.0737162828445435,,
9,,1409,0.6444487571716309,,
9,,1419,0.48977044224739075,,
9,,1429,0.8904478549957275,,
9,,1439,0.7018904685974121,,
9,,1449,0.22459836304187775,,
9,,1449,,0.6627379059791565,4.771460056304932
,0.0009938441702975688,1450,,,
10,,1459,0.6066750288009644,,
10,,1469,0.4818074107170105,,
10,,1479,0.37651321291923523,,
