Family,n,MAE_v2 (K),R²_v2,MAE_v1_overall (K),v2 vs v1 (%)
Hydride,51,1.041706843442288,0.648254163893828,5.48,80.99075103207504
BCS-Other,351,1.63458211505176,0.6215257794159892,5.48,70.17185921438394
A15,21,1.832477873944177,0.8625028677128495,5.48,66.56062273824494
MgB2-like,12,6.253933828300319,-0.8799752708880966,5.48,-14.122880078472965
Nickelate,10,3.141585077901776,0.9594059495175354,5.48,42.67180514777781
Iron-based,44,9.49698192864136,0.09704795262320975,5.48,-73.30258993871092
Cuprate,88,15.299310978735804,0.706871415897276,5.48,-179.18450691123726
